Ticker,Weight
AAPL,6.01
MSFT,4.68
AMZN,3.88
FB,1.84
TSLA,1.5
GOOGL,1.48
GOOG,1.43
BRKB,1.23
JNJ,1.17
JPM,1.08
V,1.04
PG,0.95
UNH,0.93
DIS,0.92
MA,0.88
NVDA,0.87
HD,0.8
PYPL,0.77
VZ,0.68
ADBE,0.68
CMCSA,0.67
BAC,0.66
NFLX,0.65
KO,0.59
MRK,0.58
PEP,0.58
T,0.58
PFE,0.57
INTC,0.57
WMT,0.56
CRM,0.55
CSCO,0.53
ABT,0.53
ABBV,0.53
TMO,0.52
XOM,0.49
NKE,0.49
AVGO,0.49
QCOM,0.48
ACN,0.47
COST,0.47
CVX,0.46
MCD,0.45
MDT,0.44
NEE,0.42
TXN,0.42
HON,0.42
LLY,0.4
UNP,0.4
BMY,0.39
DHR,0.39
LIN,0.39
AMGN,0.38
PM,0.36
C,0.36
SBUX,0.35
ORCL,0.34
LOW,0.34
UPS,0.34
BA,0.32
WFC,0.32
IBM,0.31
AMD,0.31
NOW,0.3
BLK,0.3
RTX,0.29
AMT,0.28
CAT,0.28
MMM,0.28
INTU,0.27
CHTR,0.27
ISRG,0.27
GE,0.26
MS,0.26
BKNG,0.25
CVS,0.25
TGT,0.25
LMT,0.25
FIS,0.24
GS,0.24
SYK,0.24
MU,0.23
MDLZ,0.23
TJX,0.23
SQ,0.23
ANTM,0.22
AMAT,0.22
AXP,0.22
SPGI,0.22
ZTS,0.22
ADP,0.21
MO,0.21
DE,0.21
CI,0.21
TMUS,0.21
PLD,0.21
SCHW,0.21
GILD,0.2
CL,0.2
ATVI,0.2
UBER,0.2
CB,0.2
BDX,0.19
CSX,0.19
LRCX,0.19
DUK,0.19
ADSK,0.19
CCI,0.19
FISV,0.18
CME,0.18
SO,0.18
TFC,0.18
ITW,0.18
ICE,0.18
GPN,0.18
USB,0.18
EQIX,0.18
PNC,0.18
FDX,0.18
D,0.17
VRTX,0.17
NSC,0.17
APD,0.17
SHW,0.17
MMC,0.17
EL,0.16
PGR,0.16
ZM,0.16
EW,0.16
ECL,0.15
ILMN,0.15
ADI,0.15
HUM,0.15
DG,0.15
DD,0.15
GM,0.15
BSX,0.15
WM,0.14
EMR,0.13
AON,0.13
NOC,0.13
NEM,0.13
ETN,0.13
TWLO,0.13
MCO,0.13
REGN,0.13
KMB,0.13
COF,0.13
ROP,0.13
CTSH,0.12
HCA,0.12
COP,0.12
ROST,0.12
TWTR,0.12
WDAY,0.12
ALGN,0.12
IDXX,0.12
AEP,0.12
EA,0.12
SPOT,0.12
BAX,0.12
DOW,0.11
EXC,0.11
KLAC,0.11
LHX,0.11
DOCU,0.11
SNPS,0.11
LULU,0.11
DLR,0.11
PTON,0.11
CMG,0.11
APH,0.11
GD,0.11
FCX,0.11
BIIB,0.11
CDNS,0.11
VEEV,0.1
SRE,0.1
A,0.1
MSCI,0.1
ROKU,0.1
MET,0.1
CSGP,0.1
SYY,0.1
GIS,0.1
INFO,0.1
TRV,0.1
MAR,0.1
PH,0.1
STZ,0.1
XEL,0.1
PSA,0.1
APTV,0.1
TT,0.1
MCHP,0.1
XLNX,0.1
PPG,0.1
F,0.1
CNC,0.1
TROW,0.1
MNST,0.1
JCI,0.1
MTCH,0.09
HPQ,0.09
IQV,0.09
DXCM,0.09
BK,0.09
ALL,0.09
TTD,0.09
CMI,0.09
ALXN,0.09
PANW,0.09
EBAY,0.09
TDG,0.09
VRSK,0.09
CARR,0.09
YUM,0.09
ORLY,0.09
AIG,0.09
CRWD,0.09
MRVL,0.09
ZBH,0.09
SBAC,0.09
CTAS,0.09
AFL,0.09
ANSS,0.09
TEAM,0.09
HLT,0.09
RMD,0.09
PRU,0.09
SLB,0.09
PSX,0.08
MRNA,0.08
RNG,0.08
PAYX,0.08
PCAR,0.08
ES,0.08
PEG,0.08
BLL,0.08
ROK,0.08
CTVA,0.08
OKTA,0.08
WBA,0.08
WEC,0.08
EOG,0.08
MSI,0.08
MCK,0.08
FAST,0.08
ADM,0.08
VFC,0.08
SWK,0.08
AME,0.08
AZO,0.08
AWK,0.08
DFS,0.08
OTIS,0.08
SPG,0.08
LUV,0.08
WELL,0.08
WLTW,0.08
SPLK,0.08
GLW,0.07
MTD,0.07
MPC,0.07
KMI,0.07
CPRT,0.07
PINS,0.07
FRC,0.07
DAL,0.07
STT,0.07
WY,0.07
LBRDK,0.07
SWKS,0.07
CLX,0.07
DLTR,0.07
KEYS,0.07
KR,0.07
ED,0.07
WMB,0.07
ARE,0.07
TTWO,0.07
AJG,0.07
CERN,0.07
MKC,0.07
COUP,0.07
EFX,0.07
MXIM,0.07
LYB,0.07
DTE,0.06
AMP,0.06
VLO,0.06
EIX,0.06
YUMC,0.06
PAYC,0.06
DHI,0.06
BBY,0.06
FLT,0.06
VTRS,0.06
AVB,0.06
HSY,0.06
SGEN,0.06
KHC,0.06
EQR,0.06
KKR,0.06
O,0.06
CHD,0.06
VRSN,0.06
PPL,0.06
TDOC,0.06
FTV,0.06
CBRE,0.06
ETSY,0.06
MKTX,0.06
WST,0.06
VIAC,0.06
ETR,0.06
LEN,0.06
ZBRA,0.06
LH,0.06
VMC,0.06
SYF,0.06
RSG,0.06
IP,0.06
SIVB,0.06
FTNT,0.05
TER,0.05
LVS,0.05
EXAS,0.05
TFX,0.05
FITB,0.05
ODFL,0.05
QRVO,0.05
AEE,0.05
DELL,0.05
CDW,0.05
KSU,0.05
PXD,0.05
Z,0.05
TRU,0.05
TSN,0.05
EPAM,0.05
AMCR,0.05
MDB,0.05
HOLX,0.05
ENPH,0.05
NTRS,0.05
VTR,0.05
CAG,0.05
XYL,0.05
GWW,0.05
DOV,0.05
HIG,0.05
CMS,0.05
COO,0.05
GRMN,0.05
MLM,0.05
EXPE,0.05
NVCR,0.05
BR,0.05
TYL,0.05
BURL,0.05
AKAM,0.05
STNE,0.05
OKE,0.05
WDC,0.05
ANET,0.05
CTLT,0.05
PCG,0.05
HAL,0.05
ZEN,0.05
PODD,0.05
URI,0.05
INVH,0.05
WORK,0.05
TRMB,0.05
FE,0.05
VAR,0.05
KEY,0.05
EXPD,0.05
STE,0.05
HUBS,0.05
SSNC,0.05
W,0.05
SUI,0.05
TSCO,0.05
IR,0.04
CAH,0.04
PEAK,0.04
MTB,0.04
MPWR,0.04
DGX,0.04
CTXS,0.04
ESS,0.04
RF,0.04
NUE,0.04
PKI,0.04
TIF,0.04
BMRN,0.04
KMX,0.04
INCY,0.04
SEDG,0.04
HPE,0.04
K,0.04
ALB,0.04
CFG,0.04
ALNY,0.04
AES,0.04
DRI,0.04
FMC,0.04
ULTA,0.04
NDAQ,0.04
DPZ,0.04
CE,0.04
WAT,0.04
IEX,0.04
DDOG,0.04
BXP,0.04
HES,0.04
MGM,0.04
ZS,0.04
DRE,0.04
POOL,0.04
TDY,0.04
ACGL,0.04
GPC,0.04
LDOS,0.04
NTAP,0.04
EXR,0.04
KDP,0.04
OXY,0.04
