FWONK,2020-11-05,Sep 2020,-0.04,-0.41,-0.37,-925
NBIX,2020-11-09,Sep 2020,0.11,-0.62,-0.73,-663.6
HXL,2020-10-19,Sep 2020,0.07,-0.29,-0.36,-514.2
NEWR,2020-11-05,Sep 2020,0.02,-0.07,-0.09,-450
APLE,2020-11-05,Sep 2020,0.06,-0.18,-0.24,-400
CF,2020-11-04,Sep 2020,0.05,-0.13,-0.18,-360
PEGA,2020-10-28,Sep 2020,-0.08,-0.33,-0.25,-312.5
FSLY,2020-10-28,Sep 2020,-0.01,-0.04,-0.03,-300
OUT,2020-11-04,Sep 2020,0.12,-0.14,-0.26,-216.6
AMWL,2020-11-12,Sep 2020,-0.3,-0.92,-0.62,-206.6
SPLK,2020-12-02,Oct 2020,0.1,-0.07,-0.17,-170
ADT,2020-11-05,Sep 2020,0.13,-0.08,-0.21,-161.5
IONS,2020-11-04,Sep 2020,-0.09,-0.22,-0.13,-144.4
ESRT,2020-10-28,Sep 2020,0.13,-0.05,-0.18,-138.4
CONE,2020-10-28,Sep 2020,0.91,-0.32,-1.23,-135.1
EQC,2020-10-28,Sep 2020,0.03,-0.01,-0.04,-133.3
LNC,2020-11-04,Sep 2020,2.16,-0.72,-2.88,-133.3
ZNGA,2020-11-04,Sep 2020,0.09,-0.03,-0.12,-133.3
PEAK,2020-11-02,Sep 2020,0.39,-0.12,-0.51,-130.7
GH,2020-11-05,Sep 2020,-0.34,-0.78,-0.44,-129.4
PGRE,2020-10-28,Sep 2020,0.23,-0.04,-0.27,-117.3
WYNN,2020-11-05,Sep 2020,-3.32,-7.04,-3.72,-112
EXEL,2020-11-05,Sep 2020,-0.05,-0.1,-0.05,-100
LSXMK,2020-11-05,Sep 2020,0.41,0.03,-0.38,-92.6
SBAC,2020-11-02,Sep 2020,2.32,0.2,-2.12,-91.3
EPR,2020-11-04,Sep 2020,0.32,0.04,-0.28,-87.5
PLNT,2020-11-05,Sep 2020,0.11,0.02,-0.09,-81.8
INVH,2020-10-28,Sep 2020,0.31,0.06,-0.25,-80.6
COLD,2020-11-05,Sep 2020,0.29,0.06,-0.23,-79.3
REG,2020-11-05,Sep 2020,0.75,0.16,-0.59,-78.6
AMH,2020-11-05,Sep 2020,0.28,0.07,-0.21,-75
TREE,2020-11-05,Sep 2020,-0.15,-0.26,-0.11,-73.3
BRX,2020-11-04,Sep 2020,0.4,0.11,-0.29,-72.5
INCY,2020-11-05,Sep 2020,0.72,0.23,-0.49,-68
LNG,2020-11-06,Sep 2020,-0.57,-0.87,-0.3,-52.6
MSGS,2020-11-09,Sep 2020,-0.79,-1.18,-0.39,-49.3
STOR,2020-11-05,Sep 2020,0.45,0.23,-0.22,-48.8
LSI,2020-11-05,Sep 2020,0.99,0.52,-0.47,-47.4
VER,2020-11-05,Sep 2020,0.75,0.4,-0.35,-46.6
LBRDK,2020-11-04,Sep 2020,0.71,0.38,-0.33,-46.4
MIC,2020-11-09,Sep 2020,0.8,0.43,-0.37,-46.2
ACAD,2020-11-04,Sep 2020,-0.38,-0.54,-0.16,-42.1
PFG,2020-10-26,Sep 2020,1.47,0.85,-0.62,-42.1
PACW,2020-10-14,Sep 2020,0.63,0.38,-0.25,-39.6
MRNA,2020-10-29,Sep 2020,-0.43,-0.59,-0.16,-37.2
GBT,2020-11-05,Sep 2020,-0.72,-0.97,-0.25,-34.7
REXR,2020-10-20,Sep 2020,0.32,0.21,-0.11,-34.3
PSA,2020-11-04,Sep 2020,2.6,1.76,-0.84,-32.3
SRPT,2020-11-05,Sep 2020,-1.89,-2.5,-0.61,-32.2
GLPI,2020-10-27,Sep 2020,0.85,0.58,-0.27,-31.7
SABR,2020-11-06,Sep 2020,-0.63,-0.82,-0.19,-30.1
RNR,2020-10-27,Sep 2020,-2.03,-2.64,-0.61,-30
SIX,2020-10-28,Sep 2020,-1.06,-1.37,-0.31,-29.2
HCA,2020-10-26,Sep 2020,2.69,1.92,-0.77,-28.6
ENR,2020-11-12,Sep 2020,0.8,0.59,-0.21,-26.2
SPCE,2020-11-05,Sep 2020,-0.27,-0.34,-0.07,-25.9
WPC,2020-10-30,Sep 2020,1.14,0.85,-0.29,-25.4
HWM,2020-11-09,Sep 2020,0.04,0.03,-0.01,-25
